component,component_column,analysis_kind,slice_value,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,decile_monotonicity_5d,decile_monotonicity_10d,bootstrap_clusters,bootstrap_mean_ci_low,bootstrap_mean_ci_high
Execution Quality,execution_quality,DECILE,8,587,493,0.23651921033134735,0.1958224543080922,1.6929135453293664,1.3293517002215482,-1.1019987531024829,-0.96875545470414,0.5415821501014199,432,0.7106262379576539,0.6401795142555455,3.01340195432984,2.2949813128632646,-2.0346285060455833,-1.7272135718150783,0.5925925925925926,406,1.6582280931724442,1.3312531435524022,4.252637397999323,3.223449497858544,-2.3972946683588914,-2.0055421961971467,0.6674876847290641,273,2.7152181766678267,2.353300733496333,6.276875743377783,4.769805060141019,-3.1400522117428853,-2.754742159946621,0.7252747252747253,0.5542857142857143,4.923076923076923,3.2807881773399017,6.117216117216117,,,,,7.0,0.9914212652031177,2.147710630095039
Execution Quality,execution_quality,DECILE,9,583,503,0.2087918476004946,0.2008300977373256,1.581019485141203,1.3704765317090528,-1.2290041508198692,-1.0018287349924493,0.5387673956262425,417,0.360709717452332,0.5710421519272701,2.611848163976482,2.11655011655012,-2.2904125052564477,-1.9492357313139808,0.5371702637889688,390,0.6303242085422563,0.5245792684374195,3.4578922358317343,2.6719731314786888,-2.766212926559553,-2.3054417788180293,0.5717948717948718,259,2.266692160434924,1.7955017955018082,5.103457078364955,4.335871404399327,-2.959452100963327,-2.5596276905177406,0.6988416988416989,0.5673758865248227,5.166666666666667,2.9256410256410255,6.694980694980695,,,,,7.0,0.09528989618518066,1.440075618424379
Execution Quality,execution_quality,DECILE,10,593,509,0.11709376394082653,-0.0213766566908857,1.5419021740177183,1.2733580383190055,-1.3047340113771488,-1.023717174286265,0.48919449901768175,435,0.8104804679756074,0.2635740643120776,3.1592482158621995,2.2132443351484232,-2.11436229999345,-1.7039853541754746,0.542528735632184,400,1.3854941249549027,0.8058442536526433,4.197038910600198,3.2937757326229056,-2.5524709174491544,-2.1420518602029315,0.595,281,3.0681854225156733,2.141057934508805,6.251958888483918,5.3124268663702345,-3.1307321303337172,-2.550357374918777,0.6832740213523132,0.585635359116022,4.483606557377049,3.235,6.355871886120997,,,,,7.0,0.8468865409430697,2.0922779775364617
Trigger Quality,trigger_quality,OVERALL,ALL,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,0.028224767186460692,0.13938773906989785,-0.006060606060606061,0.2121212121212121,7.0,0.907255528739612,1.5285947465902214
Trigger Quality,trigger_quality,TOP_10_PCT,TOP_10_PCT,859,677,0.43963832191264063,0.1958224543080922,1.9624067157312857,1.4964788732394263,-1.1736055653184139,-0.9683098591549256,0.5642540620384048,558,1.3952954340109152,0.6574523720582759,3.7832944025101907,2.2616599935072035,-2.039625660934677,-1.7212508275244454,0.6021505376344086,503,2.1437720787354184,1.2696078431372548,5.047221004013761,3.1441942088329844,-2.4120418387548144,-2.130681818181812,0.6819085487077535,333,5.063509859625387,3.2723611344185333,8.104347204843783,6.89424364123159,-2.6762701584617368,-2.3039088791095064,0.8438438438438438,0.7210526315789474,4.195121951219512,3.3101391650099403,7.069069069069069,,,,,7.0,1.7225207803959175,2.6473897112348124
Trigger Quality,trigger_quality,TOP_20_PCT,TOP_20_PCT,959,766,0.3724304109018417,0.1788340616007633,1.864959573622406,1.4772802215920366,-1.1897702319499275,-0.9733543065833572,0.5509138381201044,606,1.2129672131233338,0.5710421519272701,3.5912631871394796,2.2218240458699023,-2.1159238585056883,-1.829484051005409,0.5759075907590759,550,1.8704784835613464,1.2147699891515762,4.8140416917151265,2.877110827302398,-2.5241588207202637,-2.2508440665249485,0.649090909090909,360,4.679014624141577,2.990325417766071,7.799021363126692,6.409739052713881,-2.833688725060708,-2.4984227129337566,0.8138888888888889,0.6915422885572139,4.2023809523809526,3.2436363636363637,6.975,,,,,7.0,1.3613145932914192,2.5232335190658235
Trigger Quality,trigger_quality,DECILE,1,588,508,0.21313668176908668,0.07908829763125791,1.6051937242417018,1.236352357320103,-1.0220745734550167,-0.9515717926932954,0.5196850393700787,434,0.6546082654501222,0.2342704149933094,2.9665828497576605,2.0086738187628184,-1.9605790854694203,-1.5942098344013167,0.5368663594470046,393,1.3251731717421327,0.8701472556894352,3.8931463164831888,2.8833762886598,-2.399909193595755,-2.042270244597477,0.6310432569974554,304,1.9680098774366477,1.5277633520097256,5.062371340607625,3.7991251103286827,-2.8496881809142574,-2.5175360285677906,0.6743421052631579,0.5921052631578947,4.372549019607843,2.989821882951654,5.875,,,,,7.0,0.8192595859089726,1.750286763722851
Trigger Quality,trigger_quality,DECILE,2,366,261,0.18566316171064257,0.2356780275561965,1.5843255145096105,1.5046766978446646,-1.2395523557534647,-1.090635577284682,0.5900383141762452,191,0.4472611040645924,0.1339285714285765,3.111601442948518,2.1803370337832417,-2.2958948926188407,-1.72663560549704,0.5340314136125655,175,0.24412524090419702,0.0065019505851804,4.131561733068219,2.966123216008953,-2.9814294799284613,-2.443680794196257,0.5028571428571429,87,3.4544814904036545,2.3905354311501537,6.596433145024809,4.810267857142869,-3.4732604390584707,-2.895360650186252,0.7816091954022989,0.7358490566037735,5.333333333333333,2.817142857142857,6.287356321839081,,,,,7.0,-0.3557794109561967,1.3076802018970386
Trigger Quality,trigger_quality,DECILE,3,761,678,-0.08147441528323786,-0.265974278738379,1.536150830442247,1.1301590876961032,-1.6362790318096498,-1.3842158744495905,0.4336283185840708,656,0.19188008635228201,0.0536193029490483,2.924417051502357,2.0857283239524955,-2.6715471922610794,-2.1496771344997057,0.5060975609756098,633,0.745695484527229,0.3471513171329432,3.9386189002424863,2.8924202583743064,-3.094368807851832,-2.412455800159685,0.5418641390205371,484,1.4708509583846396,0.965147453083115,5.753912633524827,4.540624094290391,-3.679134008252163,-3.1789282470481406,0.6012396694214877,0.5173745173745173,4.4879518072289155,3.0410742496050553,5.580578512396694,,,,,5.0,0.08047766347456979,1.4003478023744373
Trigger Quality,trigger_quality,DECILE,4,653,590,0.24396069397778228,0.1622740753175477,1.627683043111087,1.2325969947690973,-1.1202790949461872,-0.9307558555794126,0.5576271186440678,504,0.9593720166259218,0.7349520885663763,3.174834049826183,2.310445818418483,-1.8457042113263153,-1.3980868285504044,0.6011904761904762,471,1.4138542282639093,1.5320491156922469,4.105556112224319,3.0993546330969624,-2.1504072447344806,-1.5469233413544117,0.6581740976645435,295,2.0028100087169767,1.1989630589760214,6.134048439199442,4.670084707980382,-2.792077902724912,-2.027089284068928,0.6779661016949152,0.5602409638554217,4.348214285714286,3.2653927813163484,5.803389830508475,,,,,7.0,0.9217060215203216,2.0082179617759075
Trigger Quality,trigger_quality,DECILE,5,173,164,0.17135228377102404,0.2947437366956018,1.5563290349960974,1.4077480145056387,-1.2422434192462564,-0.9424890309707445,0.5914634146341463,119,0.34003242432905667,-0.0503792437515748,2.8372459341494602,2.1739130434782705,-2.292174397806509,-1.916300921060776,0.4957983193277311,105,0.6610335379814091,0.2849191624701763,3.551585908576422,3.1275585393810257,-2.6076456984933354,-2.29245128541018,0.5523809523809524,54,1.4422783111343458,0.36246476037054,4.886041617273457,3.7462406538049664,-3.3755845894093746,-2.611667994412242,0.5370370370370371,0.4827586206896552,4.066666666666666,3.2476190476190476,6.314814814814815,,,,,5.0,-0.18697466216643951,2.843730296199382
Trigger Quality,trigger_quality,DECILE,6,238,192,1.1018778833612715,0.9877307436276128,2.288132101268578,1.9481416662828763,-0.8766060395405836,-0.7667219879490428,0.7708333333333334,184,2.3609573747893826,1.895290670795713,4.822464330085115,3.748798480575588,-1.6632430439991537,-1.0790893538623392,0.7391304347826086,174,2.097587420048115,0.9478118417973302,6.350570688182071,4.467574059247403,-2.550876802304314,-1.6431381624623986,0.6494252873563219,159,4.331878652436578,3.835314299718173,7.585773133880839,5.799955958992942,-2.8701932417182197,-1.8746041798606727,0.7672955974842768,0.7368421052631579,3.831460674157303,3.218390804597701,6.327044025157233,,,,,2.0,2.020193134186181,2.5813017066852018
Trigger Quality,trigger_quality,DECILE,7,2065,1797,0.17054597501797975,-0.056734369681155,1.7519525571807204,1.2991781286186388,-1.269510824192329,-1.1350737797956922,0.49081803005008345,1549,0.5862805886118801,0.1031282227569541,3.1732035893093418,2.138720715977893,-2.319121977461955,-2.104903857094087,0.5080697224015494,1428,1.1359257481124339,0.44566068363666167,4.119655965061543,3.0195381882770933,-2.659448074238507,-2.428035043804766,0.5553221288515406,825,2.6569824098366692,2.1127582584335336,6.447501965717999,5.109787432842783,-3.0226578552429553,-2.870981602281164,0.6678787878787878,0.631578947368421,4.180428134556575,2.9908963585434174,6.086060606060606,,,,,7.0,0.8804579596976218,1.5529393630901414
Trigger Quality,trigger_quality,DECILE,8,45,28,1.386765843685716,1.0986386434201023,2.4115469197290196,2.726805007717359,-0.28592778471083535,0.3618667332168757,0.8571428571428571,25,0.7848458043229347,1.6120734007888826,3.72426470038611,3.56714114217116,-1.5795210862731985,-1.0031048483400862,0.72,25,-1.2437679644988455,-0.5025125628140725,3.927766840194963,3.8243868976161934,-2.8072779705256004,-2.3054417788180293,0.48,19,2.695475274660683,2.5954579485899743,4.615311546209736,4.202056325435843,-3.6971665181968816,-2.3054417788180293,1.0,0.625,2.9,3.0,4.631578947368421,,,,,1.0,,
Trigger Quality,trigger_quality,DECILE,9,100,89,-0.1388027998207524,-0.1085776330076226,1.1237043465694712,1.2048192771084263,-1.3127306736300934,-1.083698409038503,0.449438202247191,48,-0.9065983546947969,-1.265846100687873,1.358900308454962,1.23913570012818,-3.002890405268699,-2.8152606842572925,0.2708333333333333,47,-1.0543444605356398,-1.34228187919464,2.3185269239233555,1.5211251852473184,-3.72404907452071,-3.478213831715038,0.2978723404255319,27,-0.06309328015875962,-0.2985884907709235,4.033335981949238,3.152554656359463,-4.775184379781352,-4.470588235294115,0.4444444444444444,0.18181818181818182,4.5,2.5319148936170213,5.814814814814815,,,,,5.0,-2.5801914888730564,-0.1879059896105087
Trigger Quality,trigger_quality,DECILE,10,859,677,0.43963832191264063,0.1958224543080922,1.9624067157312857,1.4964788732394263,-1.1736055653184139,-0.9683098591549256,0.5642540620384048,558,1.3952954340109152,0.6574523720582759,3.7832944025101907,2.2616599935072035,-2.039625660934677,-1.7212508275244454,0.6021505376344086,503,2.1437720787354184,1.2696078431372548,5.047221004013761,3.1441942088329844,-2.4120418387548144,-2.130681818181812,0.6819085487077535,333,5.063509859625387,3.2723611344185333,8.104347204843783,6.89424364123159,-2.6762701584617368,-2.3039088791095064,0.8438438438438438,0.7210526315789474,4.195121951219512,3.3101391650099403,7.069069069069069,,,,,7.0,1.7225207803959175,2.6473897112348124
